title,description
Backend Golang Leader,"Bachelor’s or master’s degree in computer science, Engineering, or a related field.Minimum of 5 years of professional backend development experience, with a demonstrated trajectory of increasing responsibility.Strong background in Golang and expert-level experience with SQL and database design (Postgres, SAP Hana).Proven leadership skills with the ability to manage, mentor, and grow a team of software engineers.Robust understanding of system design principles and a track record of delivering scalable, high-quality software.Effective communication skills, capable of liaising between technical teams and non-technical stakeholders.Experience with Kubernetes, Docker, and the implementation of CI/CD pipelines is essential.Fluency in English (4 skills), communicate directly with the foreign clientTech stack:Programming Language: GolangDatabases: PostgreSQL, SAP Hana, Containerization: Docker, KubernetesContinuous Integration/Continuous Deployment: Familiarity with CI/CD tools and pipelinesVersion Control: GitCloud Services: Experience with cloud service providers (e.g., AWS, GCP, Azure)API Design: RESTful API, GraphQL, GRPCReact and Node JS experience will be an added advantage."
"Business Analyst(Middle+,Dự Án Công Nghệ Mới)","Tốt nghiệp chuyên ngành CNTT/các chuyên ngành khác liên quanCó từ 04 năm kinh nghiệm ở vị trí BACó kiến thức về các kĩ thuật phân tích nghiệp vụ như: các mô hình chức năng nghiệp vụ,mô hình luồng nghiệp vụ, mô hình dữ liệu quan hệ, ngôn ngữ UML, tạo Use case,prototype của sản phẩm/ứng dụng;Có năng lực phân tích và giải quyết vấn đề: suy nghĩ sáng tạo, kỹ năng ra quyết định,nhạy bén với nghiệp vụ;Kỹ năng sử dụng các công cụ Office: Word, Excel, Powerpoint, Outlook, Visio, Project;sử dụng các công cụ như các phần mềm vẽ luồng nghiệp vụ, vẽ prototype,..."
Unity Developer (Junior Up) - Casual/Puzzle,"Knowledge:- Graduated from University majoring in IT or related fields- Good programming thinking, proficient in C# programming language- Have at least 1 year of experience working with Unity; know how to work with XCode and Android Studio- Junior up: Have products that have been put on the store as the main dev (with product link). Priority is given to those who have made 3D games.​​​​​​​Skill:- Proficient in Unity, especially experienced in handling issues such as: Animation, Effect, Particle, optimization- Skilled in planning Game development, able to work under high pressure- Good teamwork and independent work.Attitude:- Ability to work in a customer-centric and team-oriented environment, detail-oriented- Positive, proactive, responsible in work, and have passion for Games- Diligent, eager to learn, enthusiastic, with a strong growth mindset and a passion for self-development- Commitment to long-term engagement with the company- Quick adaptability to work, able to handle pressure- Ability to work in a fast-paced environment."
BrSE Non-Tech,"Tiếng Nhật từ N2 trở lên;Có ít nhất 02 năm kinh nghiệm vị trí BrSE và có kinh nghiệm quản lý dự án phần mềm cho khách hàng Nhật;Có khả năng làm estimate/proposal;Có khả năng quản lý team, quản lý dự án. Ứng viên đã có kinh nghiệm làm việc tại Nhật là lợi thế;Yêu cầu khácCó tinh thần trách nhiệm cao trong công việc;Có khả năng làm việc độc lập và làm việc theo nhóm."
UIUX Designer/ Product Designer,"Có ít nhất 1 năm kinh nghiệm trở lên tham gia phát triển các dự án công nghệ thông tin với vai trò là thiết kếThành thạo các kỹ năng chuyên môn của thiết kế như : Dựng mô hình giao diện phần mềm, thiết kế đồ họa sản phẩm, thiết kế luồng trải nghiệm sản phẩmSử dụng tốt các tool hỗ trợ cho thiết kế như : PTS, AI, figma & các tool tương tựKỹ năng giao tiếp, làm việc nhóm tốtCó kinh nghiệm làm việc hoặc am hiểu cơ bản với mô hình phát triển phần mềm Agile"
Nhân Viên Chăm Sóc Khách Hàng,"Nam tốt nghiệp đại học, cao đẳng, có khả năng tư vấn tốt, ưu tiên có kinh nghiệm hoặc các ứng viên từng tốt nghiệp chuyên ngành kinh tế, quản trị kinh doanh, makerting, CNTT... Có khả năng ứng xử, giao tiếp, xử lý tình huống nhanh nhạy, linh hoạt Có tinh thần trách nhiệm cao, tận tụy trong công việc, ham học hỏi.Có khả năng chịu được áp lực công việc, làm việc độc lập hoặc theo nhóm hiệu quảTính tình ôn hòa, nhã nhặn, kiên nhẫn, không nổi nóng.Thành thạo vi tính văn phòng (word, excel, email, ...)Ưu tiên các ứng viên có kinh nghiệm trong lĩnh vực tư vấn khách hàng,CNTT."
Nhân Viên SEO Website,"– Am hiểu về các công cụ SEO. – Biết sử dụng SEO căn bản. – Phối hợp, và có tinh thần đội nhóm. – Nhanh nhẹn, chăm chỉ, nhiệt tình, có tinh thần trách nhiệm cao; tư duy sáng tạo. – Chịu khó học hỏi, tiếp thu nhanh."
Software Development Engineer In Test (SDET),"Requirements:3+ years of developing internal tools and infrastructureSolid understanding of python, node js and groovyExperienced in developing test tools for web-based applicationsFamiliar with enterprise software quality requirementsStrong understanding of Continuous Integration and Continuous Delivery modelsExperienced in developing for virtual and containerized environmentsComfortable and adaptable in a high-paced working environmentExcellent analytical and problem-solving skills, with the ability to work on complex projectsStrong communication and collaboration skills, with the ability to work in a team environmentExperience with software development best practices such as version control, testing, and deploymentExperienced in Git or other source control systems“can-do” attitude, listening, and communicating with team membersKnowledge of relational databases and non-relational databasesGood English communication skills  Agile/Scrum development cycle understanding is an advantage"
Mobile Developer (IOS),"Trình độ học vấn: Tốt nghiệp đại học chuyên ngành Công nghệ thông tin, Khoa học máy tính hoặc các ngành liên quanKinh nghiệm: tối thiểu 3 năm kinh nghiệm phát triển ứng dụng IOS sử dụng Swift và Objective-CKiến thức:Phát triển 3D: Kinh nghiệm với các dữ liệu, công cụ và framework 3D (như SccemeKit, ARKit, threeJS và hỗ trợ các định dạng file 3D như SketchUp, glTF, glb.)Nền tảng bản đồ: Quen thuộc với các nền tảng bản đồ và các mobile SDK như Mapbox, Google Maps, OpenStreetMap, Tile Map server, Geoserver, Mapbox mobile SDKRouting Engine và Tile Map server: Kinh nghiệm với việc tích hợp và sử dụng open source routing engine (như OSRM, Valhalla, Graph Hopper) và tile map serverKỹ năng/Khả năng:Công cụ và Framework: Thành thạo sử dụng Xcode và các framework của IOS như UlKit, CoreData, Restful, APIsKỹ năng gỡ lỗi: Kỹ năng gỡ lỗi và phân tích mã nguồnThái độ:Khả năng làm việc nhóm: Kỹ năng giao tiếp tốt và khả năng làm việc trong môi trường nhómThái độ tích cực: Chủ động, sáng tạo và có tinh thần trách nhiệm caoKhả năng học hỏi: Sẵn sàng học hỏi và cập nhật kiến thức công nghệ mới"
Software Developer ( Full Stack ),"Skills and Experience:• Bachelor's Degree in Computer Science, CIS or related field (or equivalent work experience in a related field)• 6+ years of experience in a similar or related role . • Advanced knowledge of C and ASP .NET , as well as REST APIs.• Knowledge of GIT , Jira and loT concepts.• Basic Knowledge of JavaScript, vue.js and CI/CD• Basic Linux & TCP / IP Networking • Ability to problem - solve quickly and effectively• Language English ( German is a big plus)"
Technical Support,"Good English communication skills are an strong advantage. (English level IELTS 5.5 - 6.0 or equivalent).Excellent communication skills (listening, speaking)Clear and fluent voice with no regional characteristics, demonstrating confident communication skills.Understanding networking, including setting up routers, modems, and reserved IPs.Strong teamwork skills with a positive attitude, self-discipline, and proactive work approach.Owning a laptop/PC that supports Work From Home (WFH) in emergencies."
Marketing Support - Ca Đêm,"Có kiến thức về Digital MarketingSử dụng thành thạo các phần mềm thiết kế như Photoshop, Illustrator,...Thành thạo Web Wordpress: quản trị web, elementor là lợi thế.Tốt nghiệp Đại học / Cao đẳng các chuyên ngành có liên quan.Có kinh nghiệm sử dụng nền tảng số và các thao tác về công nghệ.Kỹ năng giao tiếp tốt bằng lời nói cũng như qua văn bản.Tiếng Anh giao tiếp tốt là một lợi thế.Chủ động trong công việc; khả năng làm việc dưới áp lực cao về tiến độ thời gian.Do đặc thù công việc làm ca đêm nên cần sắp xếp giờ giấc, công việc để duy trì sức khỏe và tinh thần cho công việc ban đêm."
QC Engineer,"Your Skills and Experience: At least 2+ year of experience in QA/QC Testing (web-based and mobile application)Experience in manual testing (regression, smoke, exploratory testing)Experience in creating test plan and test casesExperience in Bug Tracking and Test Management Tools (JIRA, XRay, etc.)Able to understand, communicate, analyze requirements, and identify gaps in requirementsStrong capacity to learn new business and systemsFamiliar with Agile development processGood English skillsExperienced in performance test, security testing is a plusExperienced in end-to-end Automation testing is a plus"
Presales (Network & Security),"Tốt nghiệp Đại học ngành CNTT hoặc liên quanKỹ năng giao tiếp, trình bày, tư vấnĐam mê tìm hiểu, nghiên cứu kiến thức mớiTiếng Anh giao tiếp cơ bảnCó từ 2 năm kinh nghiệm trong việc thiết kế, triển khai, vận hành hệ thống mạngAm hiểu về các giải pháp System, Network và Security; có kinh nghiệm làm hồ sơ thầu (Hồ sơ kỹ thuật, giải pháp kỹ thuật)Có kinh nghiệm thiết kế, triển khai các thiết bị Router, Firewall, IDS, IPSTừng triển khai, vận hành mạng enterprise, Data Center là một lợi thếTừng làm việc với nhiều hãng Công nghệ lớn"
Frontend Dev (Good English Communication),"Quantity: 02From 6 months to under 2 years of experience working with JavaScript frameworks in a production environment (ReactJS, NextJS, Redux, Redux toolkit,....)Strong understanding of Javascript/React and WebpackWork experience in using some CSS frameworks (Bootstrap / Foundation / Material, ...)Ability to create hybrid app  based on web app like Ionic, Cordova, PhoneGapHave experiences in developing mobile application iOS and Android is an advantageTake lead on technical best practices, work on architecture and guide internal research.Good English communication skills"
Lập Trình Viên Mobile -Webapp (Flutter),"Tốt nghiệp Đại Học hoặc Cao Đẳng trở lên các chuyên ngành Công nghệ thông tin.Có 1 năm kinh nghiệm trở lên làm với Flutter và ưu tiên biết về IOS Native.Có kinh nghiệm về handle với Restful API (Back-end), dùng third-party libraries.Có kiến thức tốt về OOP, Data Structures, Algorithm, tối ưu hóa hiệu suất ứng dụng Flutter.Kĩ năng giải quyết vấn đề trong công việc.Chủ động giao tiếp, giao lưu với các members trong công việc.Thành thạo về hệ thống quản lý source code Git.P/s: Có máy tính cá nhân riêng"
QC Tester (Manual Testing),"Your skills & qualifications:2+ years of testing experience in software development projects.Good experience in manual testing for web-based applications.Ability to write test cases, define regression scope, and report bugs.Experience with bug tracking software such as Jira, AzureExperience in API testing and using API testing tools Postman, SoapUI...Effective communication, good sense of teamwork, and highly responsible for assigned tasks.Carefulness, good logical thinking, critical thinking, and detail-oriented.Fluent English communication skills"
Lập Trình Viên Java,"Tốt nghiệp ĐH chuyên ngành CNTT hoặc các ngành liên quanCó ít nhất 1 năm kinh nghiệm lập trình Java EE, JSP, java script,html; Sping Framework ; PL/SQL Oracle , có hiểu biết về nghiệp vụ quản trị doanh nghiệp.Có kiến thức tốt về các nguyên lý thiết kế, lập trình hướng đối tượng.Hiểu biết và có kiến thức chuyên ngành về CNTTHiểu biết về quy trình phát triển phần mềmHiểu biết, cập nhật các công cụ, xu hướng phát triển phần mềm."
Kiểm Thử Phần Mềm (Manual Tester),"Tốt nghiệp đại học chính quy chuyên ngành CNTT, ĐTVT hoặc tương đương.Có kinh nghiệm làm test phần mềm từ 1 năm trở lênCó kỹ năng cơ bản về test Web, Mobile, APICó kỹ năng thực hiện các kỹ thuật test cơ bảnCó kỹ năng thao tác với Cơ sở dữ liệu"
Sales Support Thị Trường Mỹ - Level Từ Fresher,"Saturday & Sunday OFF,  Overtime pay is 150%, 200%, 300% as per labor law;Work performance review 2 times/ year (in April and October);Performance bonus, 13th- month salary, public holidays bonus (2/9, 30/4, 1/5, 1/1); bonus for Excellent Employee and Excellent Team;Social insurance, health insurance, unemployment insurance and Bao Viet care insurance;01 hour paid leave per day for women having children under 12 months01 day remote work per month; A flexitime allowance of 90-180 minutes per month for employees.Minimum 14 paid leaves per annum for all employees after probation;Nice & modern working space with young, dynamic & friendly colleagues and free coffee, tea, drinks;Yearly company trip and year-end party, quarterly team building and weekly eating together; English - Japanese Club, Sports Clubs;Men’s Day, Women’s Day, Children’s Day, Mid-Autumn Festival and other benefits under the provisions of the company;Flat, open and sharing culture with friendly management team; outsourcing company with product mindset;Training courses and working opportunities with technical gurus who built and operated world-class applications with millions of users. This might be a good chance for graduated students to learn cutting-edge technologies and how to build scalable system from scratch."
IT Project Manager - Từ 3 Năm Kinh Nghiệm - Upto 60 Triệu,"【KỸ NĂNG CẦN THIẾT】Tốt nghiệp đại học các chuyên ngành liên quan như: Công nghệ phần mềm, hệ thống thông tin, quản lý dự án phần mềm...Có kỹ năng lập trình trên 3 năm kinh nghiệm, hiểu biết sâu về ít nhất một trong các ngôn ngữ lập trình như: PHP, JAVA, C/C++, Swift...Đã có ít nhất 2 năm kinh nghiệm phát triển ứng dụng trên smartphone (ios/android).Có kinh nghiệm 3 năm trở lên ở vị trí quản lý dự án hoặc tương đương.Có kiến thức và kinh nghiệm về Linux Cloud Server: AWS, GCP, Azure,v.vCó kiến thức sử dụng UML thiết kế hệ thống phần mềm, thiết kế CSDL quan hệ.Đã có ít nhất 3 năm kinh nghiệm làm việc với GIT hoặc Bitbucket.Kỹ năng quản lý con người để tối ưu hiệu suất công việc.Có kinh nghiệm viết Unit testing, viết document.Có tư duy lập trình hướng đối tượng MVC, đọc hiểu tiếng anh tốt để phục vụ cho công việc.【KỸ NĂNG MONG MUỐN】Có kiến thức liên quan đến Performance của MySQL Statement và Query.Đã có kinh nghiệm quản lý dự án với team size từ 5 người trở lên.Những ứng viên có kinh nghiệm sử dụng Docker để phát triển dự án.Những ứng viên sẵn sàng va chạm - thử thách với những công nghệ mới.Những ứng viên có năng lực sáng tạo và khả năng giao tiếp tốt.Những ứng viên luôn nỗ lực hết mình trong mọi hoàn cảnh và đưa ra những ý kiến đóng góp để phát triển công việc.Có kiến thức về Bảo mật và tối ưu"
Trưởng Nhóm Tester,"Có 4 năm kinh nghiệm làm test, trong đó ít nhất 1 năm làm lead team từ 4-5 member trở lênCó khả năng xây dựng test design, test strategy và tổng hợp test reportCó kinh nghiệm test API, test giả lập, test DBCó kinh nghiệm sử dụng tool về automation test, Performance test,...Có tư duy, logic phân tích nghiệp vụ tốt;Đã từng tham gia triển khai các dự án theo mô hình Agile/ScrumCó kinh nghiệm kiểm thử Mobile App/Web/APIƯu tiên ứng viên kinh nghiệm làm việc với các hệ thống ERP, CRM..."
Presale - Tiếng Anh Giao Tiếp Tốt - Từ 1 YOE,"Có 1 năm kinh nghiệm làm trog lĩnh vực ITO (Dev/Test)Có hiểu biết về quy trình phát triển dự án ITCó kinh nghiệm phận tích yêu cầu KH, phân rã chức năng hệ thốngCó kinh nghiệm từ 1 năm làm việc trực tiếp với khách hàng nói tiếng Anh/Nhật (onsite/offshoreNgoại ngữ: tiếng Anh giao tiếp thành thạo Có kinh nghiệm sử dụng Draw, balsamiq, Figma, . . .Có kinh nghiệm sử dụng Azure/AWS là một lợi thếCó kiến thức, chuyên môn về các lĩnh vực sau là một lợi thế:Banking – finance, Funding, Insurance, Hospitality, StockERP, CRM, CMS, Risk management, Booking online, . . .On-Cloud, On-Premise Các kỹ năng phụ:Có kỹ năng sử dụng các tool hỗ trợ cho công việc (chatGPT, Stackoverflow, Postman, swagger . . .)Có khả năng mô hình hóa kiến trúc hệ thống, kiến trúc phần mềmCó hiểu biết cơ bản về các hệ CSDL, có hiểu biết về các chuẩn CSDL"
Unity Developer (Junior-Middle),"- Có từ 2 năm kinh nghiệm Unity- Kỹ năng làm việc nhóm tốt- Thành thạo Unity Engine, ngôn ngữ C# và các tính năng: Renderer, Physics, UI, Animation, Particles,..- Hiểu biết về Renderer Pipeline, Shader- Có khả năng làm việc, tích hợp các plugin thứ 3 như: firebase, admob, appsflyer, adjust, ironsource, applovin, facebook,...- Có kinh nghiệm trong tối ưu hiệu năng game- Có kinh nghiệm build game và xử lý các lỗi build logic trên android và ios- Có kinh nghiệm phát triển game tương tác giữa client và server là một lợi thế"
Network Engineer (Night Shift),"Tốt nghiệp đại học trở lên chuyên ngành CNTT/ Toán tin/ Điện tử viễn thông/ Khoa học máy tính.Kiến thức về Routing, Switching, và Network Security, Load Balancing.Có hiểu biết về các hệ thống: Network DC, Network Service Provider, hệ thống Wifi, hệ thống mạng WAN, hệ thống mạng MAN, ...Có kinh nghiệm trong việc monitor và giám sát kênh truyền.Có kinh nghiệm cấu hình Firewall, VPN, ...Kiến thức cơ bản các thiết bị Cisco, Fortigate,...Có chứng chỉ CCNP, CCIE, ... là một lợi thếCó kiến thức cơ bản về mạng máy tính, giao thức mạng và các thiết bị mạngCó khả năng học hỏi nhanh và thích ứng với công nghệ mớiKỹ năng giải quyết vấn đề và xử lý sự cố tốtKhả năng làm việc độc lập và theo nhóm hiệu quảTinh thần trách nhiệm cao, chủ động trong công việcKỹ năng giao tiếp tốt, có khả năng làm việc dưới áp lực"
Content Marketing Executive,"Có kinh nghiệm từ 2 năm trở lên ở vị trí Content Marketing B2B (Có kinh nghiệm làmSales Kits là lợi thế)Có khả năng sử dụng các công cụ AI cho việc viết nội dungCó trải nghiệm hoặc quan tâm, sở thích đến các sản phẩm giáo dụcTốt nghiệp đại học chuyên ngành Marketing, Quản trị kinh doanh hoặc lĩnh vực liênquan.Tiếng anh tốtKỹ năng thiết kế video cơ bản và sử dụng các công cụ chỉnh sửa video.Khả năng làm việc độc lập cũng như làm việc nhóm hiệu quả."
Senior Java Web (Springboot/ Spring MVC),"Có từ 4 năm kinh nghiệm lập trình Java (Senior Java)Nắm vững và hiểu về lập trình hướng đối tượng, thiết kế hướng đối tượng, đã áp dụng thành thạo trong các dự ánThành thạo sử dụng Relational Database, có khả năng phân tích và thiết kế hệ thống database, tối ưu được queryThành thạo Spring framework (Spring Boot thymeleaf, Spring MVC)Đã từng cài đặt các design pattern vào dự ánCó khả năng dựng source base cho các hệ thốngCó thể viết Unit test bằng junitTư duy logic, tư duy hệ thống tốtSử dụng thành thạo GitNice to have:Ưu tiên ứng viên có kinh nghiệm làm việc với các hệ thống nghiệp vụ phức tạpƯu tiên ứng viên có kinh nghiệm làm dự án outsource Nhật"
Tester,"Tốt nghiệp đại học, cao đẳng hệ chính quy các chuyên ngành Kinh tế, Quản trị kinh doanh, Marketing, CNTT, Khoa học máy tính, Hệ thống thông tin và Tin học kinh tếCó hiểu biết căn bản về cơ sở dữ liệu SQL, SQL Server, mySQL, OracleBiết sử dụng các ứng dụng theo dõi và quản lý lỗi/ vấn đề trong dự án như Redmine, Jira, excel là một lợi thế.Có kỹ năng đọc hiểu tiếng Anh tốt là một lợi thế.Có kỹ năng phân tích và giải quyết vấn đề tốtCó kỹ năng quản lý thời gian tốtCó kỹ năng làm việc nhóm và giao tiếp tốtBiết sử dụng các công cụ kiểm thử chức năng (automation test tool), kiểm thử hiệu năng (performance test tool) phổ biết trên thị trường như Jmeter, Selenium, SOAPUI là một lợi thế.Có kinh nghiệm viết test script là một lợi thế.Ưu tiên có kinh nghiệm 1 năm trở lên, đã từng làm dự án liên quan tới lĩnh vực y tế và dịch vụ y tế số, có kinh nghiệm về automation test là một lợi thế."
Frontend Developer,"Có kinh nghiệm với các framework kiểm thử như Jest hoặc Mocha.Quen thuộc với các framework JavaScript khác như React hoặc Angular.Có kinh nghiệm với quy trình CI/CD.Kiến thức về CSS hiện đại (SASS, Tailwind CSS).Có kinh nghiệm với các framework backend như LaravelQuen thuộc với các hệ thống cơ sở dữ liệu như MySQL, Redis"
Backend Engineer (.NET Core),"WHAT WE ARE LOOKING FOR Bachelor’s degree in computer programming, computer science, or a related field At least 3+ years of development experience C#, .NET, .NET Core, ASP.NET Core, Entity Framework Core, LINQ Relational database modeling & design with Postgres Knowledge of Microservices, Clean-code, Clean-Architecture & SOLID principles Understanding of Agile/Scrum methodologies ﻿Preferred (but not required) Document DB modeling & design with Elasticsearch Object Storages with AWS S3 Message Queues with KAFKA & Message Queue Messaging with Sendgrid, Twilio, AWS SNS,... Having experience in Cloud Native Computing DevOps, SysOps in AWS and Git CI/CD experience HTML5/CSS3, JS/Typescript, React.js/Vue.js, Node.js English proficiency"
IT Infrastructure Support,"English proficiency.Bachelor’s degree in a computer-related field5+ years’ experience in a network engineer/ administration roleGood knowledge of LAN/WAN networks, TCP/IP protocols and network technologiesExperience with Cisco switches and routersHands-on experience with common software and hardwareMCSA/MCSE/CCNA qualifications are strongly preferredAble to work under high pressure and tight deadline.Good time management skills"
Mobile Developer,"Trình độ chuyên môn:Am hiểu React Native, JavaScript, TypeScript.Hiểu sâu về các nguyên lý lập trình hướng đối tượng (OOP).Kinh nghiệm làm việc với các thư viện, framework phổ biến trong React Native (Redux, Navigation, ...).Có kiến thức về native development (Swift/Objective-C, Kotlin/Java) là một lợi thế.Kỹ năng:Phát triển:Xây dựng các thành phần UI phức tạp, tương tác mượt mà.Tối ưu hóa hiệu năng ứng dụng, đảm bảo trải nghiệm người dùng tốt.Viết code sạch, có cấu trúc, dễ bảo trì.QA/QC:Lập kế hoạch và thực hiện các bài test (unit test, integration test, UI test).Phân tích và xử lý lỗi hiệu quả."
